"ActivityType" "SubjectID" "tBodyAcc.mean.X" "tBodyAcc.mean.Y" "tBodyAcc.mean.Z" "tBodyAcc.std.X" "tBodyAcc.std.Y" "tBodyAcc.std.Z" "tGravityAcc.mean.X" "tGravityAcc.mean.Y" "tGravityAcc.mean.Z" "tGravityAcc.std.X" "tGravityAcc.std.Y" "tGravityAcc.std.Z" "tBodyAccJerk.mean.X" "tBodyAccJerk.mean.Y" "tBodyAccJerk.mean.Z" "tBodyAccJerk.std.X" "tBodyAccJerk.std.Y" "tBodyAccJerk.std.Z" "tBodyGyro.mean.X" "tBodyGyro.mean.Y" "tBodyGyro.mean.Z" "tBodyGyro.std.X" "tBodyGyro.std.Y" "tBodyGyro.std.Z" "tBodyGyroJerk.mean.X" "tBodyGyroJerk.mean.Y" "tBodyGyroJerk.mean.Z" "tBodyGyroJerk.std.X" "tBodyGyroJerk.std.Y" "tBodyGyroJerk.std.Z" "tBodyAccMag.mean" "tBodyAccMag.std" "tGravityAccMag.mean" "tGravityAccMag.std" "tBodyAccJerkMag.mean" "tBodyAccJerkMag.std" "tBodyGyroMag.mean" "tBodyGyroMag.std" "tBodyGyroJerkMag.mean" "tBodyGyroJerkMag.std" "fBodyAcc.mean.X" "fBodyAcc.mean.Y" "fBodyAcc.mean.Z" "fBodyAcc.std.X" "fBodyAcc.std.Y" "fBodyAcc.std.Z" "fBodyAccJerk.mean.X" "fBodyAccJerk.mean.Y" "fBodyAccJerk.mean.Z" "fBodyAccJerk.std.X" "fBodyAccJerk.std.Y" "fBodyAccJerk.std.Z" "fBodyGyro.mean.X" "fBodyGyro.mean.Y" "fBodyGyro.mean.Z" "fBodyGyro.std.X" "fBodyGyro.std.Y" "fBodyGyro.std.Z" "fBodyAccMag.mean" "fBodyAccMag.std" "fBodyBodyAccJerkMag.mean" "fBodyBodyAccJerkMag.std" "fBodyBodyGyroMag.mean" "fBodyBodyGyroMag.std" "fBodyBodyGyroJerkMag.mean" "fBodyBodyGyroJerkMag.std"
"LAYING" 1 0.22159824394 -0.0405139534294 -0.11320355358 -0.9280564692 -0.83682740562 -0.826061401628 -0.24888179828 0.70554977346 0.4458177198 -0.8968300184 -0.90772000676 -0.85236629022 0.0810865342 0.0038382040088 0.010834236361 -0.958482112 -0.9241492736 -0.9548551108 -0.016553093978 -0.064486124088 0.14868943626 -0.87354386782 -0.9510904402 -0.9082846626 -0.107270949192 -0.04151728689 -0.0740501211 -0.9186085208 -0.9679072436 -0.9577901596 -0.8419291525 -0.79514486386 -0.8419291525 -0.79514486386 -0.9543962646 -0.9282456284 -0.874759548 -0.81901016976 -0.96346103 -0.9358409828 -0.9390990524 -0.86706520518 -0.8826668762 -0.9244374346 -0.8336255561 -0.81289155944 -0.9570738838 -0.9224626098 -0.9480609042 -0.9641607086 -0.9322178704 -0.9605869872 -0.850249174586 -0.9521914948 -0.909302721 -0.8822964508 -0.9512320494 -0.9165825082 -0.8617676481 -0.7983009404 -0.9333003608 -0.9218039756 -0.8621901854 -0.82431943968 -0.9423669466 -0.9326606676
"LAYING" 2 0.281005564032258 -0.0167984983064516 -0.109407402870968 -0.567579659758065 -0.345512971716129 -0.614003991290323 0.362446428548387 0.0456003638709677 0.313004190967742 -0.963611608064516 -0.975150367903226 -0.970909547419355 0.0832497999362903 -0.00503226289354839 -0.00562063931387097 -0.47655516563871 -0.320656149504839 -0.708556172580645 -0.0412087077651613 -0.0709144490483871 0.094332220016129 -0.686176430967742 -0.680206523064516 -0.617867725612903 -0.0919360555322581 -0.0427407098241935 -0.0604611903919355 -0.555413201564516 -0.70417180516129 -0.562447016870968 -0.495788176290323 -0.540918982580645 -0.495788176290323 -0.540918982580645 -0.4957442551 -0.396450727782258 -0.599870406274194 -0.667149313419355 -0.660469608225806 -0.638947880612903 -0.519796807612903 -0.309118204412903 -0.626267335 -0.588642286983871 -0.408251118806452 -0.637853117741936 -0.491058891112903 -0.359999587774194 -0.686629091290323 -0.509022834354839 -0.324171757983871 -0.729209296612903 -0.58426018433871 -0.667270514403226 -0.536129442772581 -0.719198867903226 -0.692434953709677 -0.685022930806452 -0.477930204645161 -0.653584882225806 -0.405323388887097 -0.389459896612903 -0.652251709967742 -0.740258380322581 -0.664427504677419 -0.633365938483871
"LAYING" 3 0.274719849230769 -0.0189532983303846 -0.1054815027 -0.548692316153846 -0.346806203838462 -0.56656717 0.595080060384615 0.0805813082692308 0.0483947223846154 -0.981315906730769 -0.967091419038462 -0.951220512884615 0.0740351499076923 0.0148440042019231 0.00919810748865385 -0.483690870288462 -0.334558725755769 -0.670361277307692 -0.0234649062961538 -0.065263106625 0.0942767951423077 -0.689266900192308 -0.704616180961538 -0.629207713653846 -0.0911872726730769 -0.0375770977769231 -0.0509713715332692 -0.568225125769231 -0.768946444230769 -0.676223508269231 -0.474032393461538 -0.522180141538462 -0.474032393461538 -0.522180141538462 -0.494624806538462 -0.398650408094231 -0.617966852692308 -0.693671822115385 -0.705433346153846 -0.712369409423077 -0.517255751307692 -0.359346096884615 -0.587287755769231 -0.562433319615385 -0.382296151232692 -0.589776860192308 -0.504503409961538 -0.401241773019231 -0.660626751346154 -0.508254056153846 -0.307119722198077 -0.678955562115385 -0.592312815384615 -0.706561822307692 -0.593303133846154 -0.720679660961538 -0.705947342115385 -0.676153741153846 -0.496162489615385 -0.612647065769231 -0.431765266980769 -0.363119690628846 -0.702420099230769 -0.741623801923077 -0.738669622307692 -0.700922860384615
"LAYING" 4 0.278669046719298 -0.0151627799035088 -0.11246421654386 -0.870702393157895 -0.798026411668421 -0.897785329824561 -0.156926762105263 0.727194046157895 0.288814782807018 -0.961591373684211 -0.977434602631579 -0.975042235438596 0.0813388624736842 -0.00114467177117544 -0.000986331324912281 -0.849990109473684 -0.824943066842105 -0.941219381929825 -0.0256741356135088 -0.0837238134280702 0.13092566754386 -0.892336705087719 -0.905332149122807 -0.914349937368421 -0.10416122577193 -0.0394640649263158 -0.0654058044947368 -0.89381266754386 -0.954956989824561 -0.925602550877193 -0.84647264 -0.877889204912281 -0.84647264 -0.877889204912281 -0.862048678421053 -0.849027975263158 -0.862074274736842 -0.885282186140351 -0.932340317719298 -0.941550574385965 -0.866845200526316 -0.809836205192982 -0.909026576315789 -0.872618135964912 -0.804527651670175 -0.898997769649123 -0.862351066140351 -0.836245153333333 -0.934671702982456 -0.850894263684211 -0.824416879947368 -0.946387063859649 -0.866716995964912 -0.921262034561404 -0.902338939122807 -0.900709552280702 -0.897866448596491 -0.926747193684211 -0.866514522105263 -0.903899599298246 -0.848358686315789 -0.850212227192983 -0.903855672631579 -0.89298526245614 -0.940277604385965 -0.947469319122807
"LAYING" 5 0.275892852692308 -0.0169940153673077 -0.105653486769231 -0.741443533846154 -0.594619917211539 -0.779854286730769 0.0510886686538461 0.567851688596154 0.164813233651923 -0.968822659807692 -0.977586743076923 -0.971953161346154 0.0801802555576923 0.0160062963153846 0.0100569886398077 -0.756331157884615 -0.652904173884615 -0.861001617307692 -0.0291988515655769 -0.0732771165961539 0.122722042288462 -0.803837893076923 -0.813263608846154 -0.736162503653846 -0.109761797680769 -0.0469298357653846 -0.0607848708230769 -0.769418684807692 -0.848989240769231 -0.698189744615385 -0.688169762944231 -0.750048977307692 -0.688169762944231 -0.750048977307692 -0.743768598076923 -0.736097745769231 -0.739759112307692 -0.796330645961538 -0.802418125192308 -0.816755784807692 -0.744891735769231 -0.618154274313461 -0.806418023076923 -0.740371749076923 -0.608123566244231 -0.782985970576923 -0.770688717307692 -0.686449676519231 -0.850740468461539 -0.763336615961538 -0.639859299698077 -0.869625081538462 -0.761184318653846 -0.819317950384615 -0.694246617692308 -0.817848899807692 -0.811047786538462 -0.775935200961538 -0.727618398461538 -0.802874464423077 -0.738082678076923 -0.735509909615385 -0.799002210961538 -0.831773879038462 -0.838467116538462 -0.804003969615385
"LAYING" 6 0.242761018666667 -0.00942659620740741 -0.126893822759259 -0.93596320012963 -0.917688893777778 -0.925511174074074 -0.0463940540740741 0.642081510555556 0.122160814000741 -0.893733020555556 -0.951966730185185 -0.936713517407407 0.0979196153333333 -0.00261934013407407 -0.000574386493703704 -0.965206761481481 -0.935417660925926 -0.958386320925926 -0.0167542554259259 -0.099997012612963 0.155232119703704 -0.956976668148148 -0.942742970185185 -0.938228618333333 -0.107865080203704 -0.0427758958325926 -0.0620176691148148 -0.94033670962963 -0.958335503888889 -0.959734669259259 -0.91789436012963 -0.897300489444444 -0.91789436012963 -0.897300489444444 -0.954507327962963 -0.950355058888889 -0.909604517962963 -0.921448488148148 -0.956190388333333 -0.953086356851852 -0.939881025925926 -0.920722872407407 -0.936956839259259 -0.934835692098148 -0.921159910851852 -0.924970725 -0.966158152407407 -0.937664651296296 -0.952966518518519 -0.967385918888889 -0.937423940740741 -0.962533071111111 -0.937297658888889 -0.941571982592593 -0.932715822777778 -0.963783442407407 -0.944098214814815 -0.946026369074074 -0.911986467351852 -0.905529965 -0.948077248518518 -0.952453095740741 -0.930701187037037 -0.929171699259259 -0.953265846111111 -0.955991221851852
"LAYING" 7 0.283478851578947 -0.0153018996838596 -0.120394861929825 -0.973074098421053 -0.914315384385965 -0.868210303140351 0.965799374736842 -0.0354725438631579 0.0166579746087719 -0.962543745789474 -0.949564474210526 -0.88150507754386 0.0686480795087719 0.0127480081682456 0.01372568669 -0.980234725964912 -0.970202586315789 -0.973170303157895 -0.0458362457880702 -0.0400902930263158 0.0329940687842105 -0.943740141578947 -0.946834607017544 -0.941775011578947 -0.094094993954386 -0.0402199389649123 -0.0471327075964912 -0.973658653157895 -0.980416783859649 -0.981239724035088 -0.923013994385965 -0.894061251736842 -0.923013994385965 -0.894061251736842 -0.976240563684211 -0.970942558070175 -0.906423361929825 -0.906479871929825 -0.981029873508772 -0.976304801403509 -0.972465443684211 -0.935515727192982 -0.912524918070175 -0.973536592982456 -0.909456792807018 -0.856568467017544 -0.97992806368421 -0.970162174035088 -0.969674849122807 -0.982512066666667 -0.972510935614035 -0.975342669473684 -0.944619065263158 -0.957959460350877 -0.951071429122807 -0.944699159122807 -0.941591897017544 -0.944368369649123 -0.917825786491228 -0.898463869754386 -0.971288345087719 -0.969623347017544 -0.937703709122807 -0.904763036842105 -0.978207926842105 -0.975650099298246
"LAYING" 8 0.272470214058824 -0.0196015231313725 -0.105645729098039 -0.865401094590196 -0.808301094313726 -0.85014060245098 -0.0448545641176471 0.430780193921569 0.543371451568627 -0.944065960901961 -0.964292501764706 -0.956988966411765 0.0837185198627451 0.0241324547982353 -0.0228570789786275 -0.900131212647059 -0.861361649019608 -0.896538189607843 0.012160309845098 -0.0793335317254902 0.106901145 -0.906029186078431 -0.885566285098039 -0.856628887843137 -0.113329497196078 -0.0381809874137255 -0.0594744244705882 -0.926875531568627 -0.926535108039216 -0.922426761176471 -0.836775882352941 -0.856814456643137 -0.836775882352941 -0.856814456643137 -0.878283245254902 -0.895528980921569 -0.841182415470588 -0.885727682352941 -0.922882165882353 -0.940455377843137 -0.896930007254902 -0.824948784313726 -0.877537507078431 -0.855431189078431 -0.812984042470588 -0.846914370862745 -0.912917831960784 -0.872050203960784 -0.898740489411765 -0.896760807529412 -0.859255626470588 -0.894052758431373 -0.89286683245098 -0.893880547647059 -0.864658419294118 -0.910597503333333 -0.882426205490196 -0.867274744843137 -0.864946925498039 -0.875192464686275 -0.889068603427451 -0.904167149117647 -0.905642843137255 -0.892518884901961 -0.93779474372549 -0.947543605490196
"LAYING" 9 0.278912998055556 -0.0167893003800972 -0.114105777097222 -0.155721764111111 -0.271341878944444 -0.0742629064161111 0.926603286111111 -0.0194129536380556 -0.155647088906667 -0.962309064861111 -0.939867179305556 -0.915037723888889 0.0738006594375 0.00874362461111111 0.0165860321869444 -0.212541050565278 -0.411782338472222 -0.469994048277778 -0.100257104013889 -0.0554951319388889 0.115152025165278 -0.405825459111111 -0.402933430722222 -0.263928646223056 -0.0870544977375 -0.0383000124583333 -0.0386207852722222 -0.577447373333333 -0.587800467361111 -0.513984226944444 -0.0836109827222222 -0.211267402786944 -0.0836109827222222 -0.211267402786944 -0.285139495583333 -0.283202437191667 -0.196930074573611 -0.438181592777778 -0.563092288194444 -0.621515533333333 -0.211445107013889 -0.307221680833333 -0.238354625736111 -0.136512815076389 -0.301034732486111 -0.0631966646663889 -0.297799032848611 -0.447943799722222 -0.442661320208333 -0.197468639783333 -0.414336034416667 -0.4968119 -0.343001376527778 -0.427539106388889 -0.289536952259722 -0.430491494583333 -0.395959193597222 -0.325084572736111 -0.197445522194444 -0.344401141208333 -0.278650826548611 -0.295794472041667 -0.484094043472222 -0.505943439444444 -0.620312190416667 -0.650712537777778
"LAYING" 10 0.262781149714286 -0.0139913493171429 -0.1025715914 -0.514396166371429 -0.348434262702857 -0.514415892485714 0.939955273714286 -0.100476904971429 0.0408792668479143 -0.963891799714286 -0.951887016571429 -0.923902532857143 0.0653348248 0.0139774925942857 -0.0188220994657143 -0.529120647371429 -0.475673151457143 -0.792851584 -0.0237152498588571 -0.0997784544857143 0.1057207066 -0.565499753428571 -0.406776040668571 -0.503250143 -0.141338306142857 -0.03369106641 -0.0537427027142857 -0.632808540857143 -0.767015530571429 -0.655350628 -0.426412876898857 -0.532977282430743 -0.426412876898857 -0.532977282430743 -0.565821856285714 -0.540611206 -0.370371112537143 -0.430231222157714 -0.701923779142857 -0.771614650857143 -0.488400635485714 -0.382337094114286 -0.629597972 -0.526339685371429 -0.371865167189143 -0.495055323625714 -0.531603525542857 -0.497666391885714 -0.761279784571429 -0.570777115085714 -0.487316304368571 -0.824689291428571 -0.499980082511429 -0.548908762 -0.482180727942857 -0.588186862114286 -0.339218247657143 -0.556399332571429 -0.500739459171429 -0.625624408285714 -0.498743454571429 -0.603293777142857 -0.521139640628571 -0.468679422857143 -0.757737091714286 -0.808500134285714
